provider,p_error,date,s_error,p_predicted,catalogued,p_detected,event_id,long,s_detected,s_confidence,plot_path,unique_id,depth,network,s_predicted,lat,p_confidence,time,mag_type,epi_distance,detected,code,mag
GFZ,,2024-08-26,,2024-08-26T19:58:54.617395,True,,smi:org.gfz-potsdam.de/geofon/gfz2024qujc,23.341,,,,2024-08-26_109,10.0,AM,2024-08-26T20:03:21.501790,38.924,,2024-08-26T19:53:45.230000,mb,2562.7102597882226,False,R1F0E,4.44
GFZ,,2024-08-26,,2024-08-26T16:00:51.883133,True,,smi:org.gfz-potsdam.de/geofon/gfz2024qubb,-159.835,,,,2024-08-26_110,28.4,AM,2024-08-26T16:10:01.210140,54.522,,2024-08-26T15:49:41.780000,m,7698.61587262538,False,R1F0E,5.35
GFZ,,2024-08-26,,2024-08-26T15:20:56.793725,True,,smi:org.gfz-potsdam.de/geofon/gfz2024qtzy,7.758,,,,2024-08-26_111,10.0,AM,2024-08-26T15:25:08.711104,76.48,,2024-08-26T15:15:57.620000,mb,2442.006014470282,False,R1F0E,4.59
GFZ,5.12913,2024-08-26,,2024-08-26T05:26:31.890870,True,2024-08-26T05:26:37.020000,smi:org.gfz-potsdam.de/geofon/gfz2024qtge,-68.083,,,https://raw.githubusercontent.com/QingyuanZhangTony/test/main/data\AM.R1F0E/2024-08-26/report/2024-08-26_112_event_plot.png?raw=true,2024-08-26_112,10.0,AM,2024-08-26T05:34:58.758622,17.829,0.5375931859016418,2024-08-26T05:16:09.420000,mb,6898.621013405209,True,R1F0E,4.8
GFZ,,2024-08-26,,2024-08-26T05:20:47.866191,True,,smi:org.gfz-potsdam.de/geofon/gfz2024qtfx,-82.304,,,,2024-08-26_113,10.0,AM,2024-08-26T05:30:46.740469,7.398,,2024-08-26T05:08:44.030000,mw,8742.92586082556,False,R1F0E,5.79
GFZ,-12.771195,2024-08-26,,2024-08-26T04:15:49.771195,True,2024-08-26T04:15:37,smi:org.gfz-potsdam.de/geofon/gfz2024qtea,-9.457,,,https://raw.githubusercontent.com/QingyuanZhangTony/test/main/data\AM.R1F0E/2024-08-26/report/2024-08-26_114_event_plot.png?raw=true,2024-08-26_114,28.3,AM,2024-08-26T04:19:30.508550,38.048,0.4055403470993042,2024-08-26T04:11:41.440000,mw,1954.8330148201753,True,R1F0E,5.03
GFZ,,2024-08-26,,2024-08-26T01:43:24.572439,True,,smi:org.gfz-potsdam.de/geofon/gfz2024qsyt,159.548,,,,2024-08-26_115,55.4,AM,2024-08-26T01:52:44.664508,52.907,,2024-08-26T01:32:02.620000,mb,7913.7885967278935,False,R1F0E,5.41
Detection,,2024-08-26,,,False,2024-08-25T23:57:20.990000,,,,,,2024-08-26_08,,AM,,,0.10673415660858154,2024-08-25T23:57:20.990000,,,True,R1F0E,
Detection,,2024-08-26,,,False,2024-08-25T23:57:21.980000,,,,,,2024-08-26_09,,AM,,,0.15961086750030518,2024-08-25T23:57:21.980000,,,True,R1F0E,
Detection,,2024-08-26,,,False,2024-08-26T00:02:04.700000,,,,,,2024-08-26_10,,AM,,,0.2008146494626999,2024-08-26T00:02:04.700000,,,True,R1F0E,
Detection,,2024-08-26,,,False,2024-08-26T00:02:15.870000,,,,,,2024-08-26_11,,AM,,,0.11858878284692764,2024-08-26T00:02:15.870000,,,True,R1F0E,
Detection,,2024-08-26,,,False,2024-08-26T00:05:33.990000,,,,,,2024-08-26_12,,AM,,,0.20195834338665009,2024-08-26T00:05:33.990000,,,True,R1F0E,
Detection,,2024-08-26,,,False,2024-08-26T00:06:35.010000,,,,,,2024-08-26_13,,AM,,,0.4014970064163208,2024-08-26T00:06:35.010000,,,True,R1F0E,
Detection,,2024-08-26,,,False,2024-08-26T00:07:37.880000,,,,,,2024-08-26_14,,AM,,,0.3123862147331238,2024-08-26T00:07:37.880000,,,True,R1F0E,
Detection,,2024-08-26,,,False,2024-08-26T00:08:48.040000,,,,,,2024-08-26_15,,AM,,,0.4035056531429291,2024-08-26T00:08:48.040000,,,True,R1F0E,
Detection,,2024-08-26,,,False,2024-08-26T00:11:07.940000,,,,,,2024-08-26_16,,AM,,,0.106763556599617,2024-08-26T00:11:07.940000,,,True,R1F0E,
Detection,,2024-08-26,,,False,2024-08-26T00:11:08.980000,,,,,,2024-08-26_17,,AM,,,0.11376696079969406,2024-08-26T00:11:08.980000,,,True,R1F0E,
Detection,,2024-08-26,,,False,2024-08-26T00:11:09.930000,,,,,,2024-08-26_18,,AM,,,0.225086972117424,2024-08-26T00:11:09.930000,,,True,R1F0E,
Detection,,2024-08-26,,,False,2024-08-26T00:12:34.010000,,,,,,2024-08-26_19,,AM,,,0.5895398259162903,2024-08-26T00:12:34.010000,,,True,R1F0E,
Detection,,2024-08-26,,,False,2024-08-26T00:12:35.010000,,,,,,2024-08-26_20,,AM,,,0.14017128944396973,2024-08-26T00:12:35.010000,,,True,R1F0E,
Detection,,2024-08-26,,,False,2024-08-26T00:16:53.120000,,,,,,2024-08-26_21,,AM,,,0.5706677436828613,2024-08-26T00:16:53.120000,,,True,R1F0E,
Detection,,2024-08-26,,,False,2024-08-26T00:17:33.910000,,,,,,2024-08-26_22,,AM,,,0.23302768170833588,2024-08-26T00:17:33.910000,,,True,R1F0E,
Detection,,2024-08-26,,,False,2024-08-26T00:20:06.770000,,,,,,2024-08-26_23,,AM,,,0.10824716836214066,2024-08-26T00:20:06.770000,,,True,R1F0E,
Detection,,2024-08-26,,,False,2024-08-26T00:21:15.830000,,,,,,2024-08-26_24,,AM,,,0.15737350285053253,2024-08-26T00:21:15.830000,,,True,R1F0E,
Detection,,2024-08-26,,,False,2024-08-26T00:30:27.070000,,,,,,2024-08-26_25,,AM,,,0.110076904296875,2024-08-26T00:30:27.070000,,,True,R1F0E,
Detection,,2024-08-26,,,False,2024-08-26T00:30:28.010000,,,,,,2024-08-26_26,,AM,,,0.3077109456062317,2024-08-26T00:30:28.010000,,,True,R1F0E,
Detection,,2024-08-26,,,False,2024-08-26T00:33:18.130000,,,,,,2024-08-26_27,,AM,,,0.5300496816635132,2024-08-26T00:33:18.130000,,,True,R1F0E,
Detection,,2024-08-26,,,False,2024-08-26T00:34:21,,,,,,2024-08-26_28,,AM,,,0.22883106768131256,2024-08-26T00:34:21,,,True,R1F0E,
Detection,,2024-08-26,,,False,2024-08-26T00:34:50.110000,,,,,,2024-08-26_29,,AM,,,0.36349156498908997,2024-08-26T00:34:50.110000,,,True,R1F0E,
Detection,,2024-08-26,,,False,2024-08-26T00:37:13.280000,,,,,,2024-08-26_30,,AM,,,0.5381771326065063,2024-08-26T00:37:13.280000,,,True,R1F0E,
Detection,,2024-08-26,,,False,2024-08-26T00:39:15.070000,,,,,,2024-08-26_31,,AM,,,0.7339822053909302,2024-08-26T00:39:15.070000,,,True,R1F0E,
Detection,,2024-08-26,,,False,2024-08-26T00:42:17.650000,,,,,,2024-08-26_32,,AM,,,0.4946318566799164,2024-08-26T00:42:17.650000,,,True,R1F0E,
