mag_type,network,lat,p_detected,plot_path,p_error,s_predicted,epi_distance,depth,p_predicted,s_error,provider,catalogued,long,date,unique_id,s_confidence,code,s_detected,mag,time,event_id,detected,p_confidence
mb,AM,6.847,,,,2024-06-25T19:25:01.455666,8456.959463027666,41.8,2024-06-25T19:15:16.141407,,GFZ,True,-77.042,2024-06-25,2024-06-25_88,,R50D6,,4.89,2024-06-25T19:03:26.800000,smi:org.gfz-potsdam.de/geofon/gfz2024mlag,False,
mw,AM,19.991,,,,2024-06-25T13:19:54.557441,9281.590453487877,10.0,2024-06-25T13:09:30.635085,,GFZ,True,-109.34,2024-06-25,2024-06-25_89,,R50D6,,4.87,2024-06-25T12:57:00.480000,smi:org.gfz-potsdam.de/geofon/gfz2024mkoe,False,
mw,AM,33.485,,,,2024-06-25T08:54:20.971410,9574.14589462548,31.0,2024-06-25T08:43:43.867937,,GFZ,True,141.121,2024-06-25,2024-06-25_90,,R50D6,,5.38,2024-06-25T08:31:00.120000,smi:org.gfz-potsdam.de/geofon/gfz2024mkfk,False,
,AM,,2024-06-25T00:08:53.980000,,,,,,,,Detection,False,,2024-06-25,2024-06-25_04,,R50D6,,,2024-06-25T00:08:53.980000,,True,0.7701456546783447
,AM,,2024-06-25T00:17:09.350000,,,,,,,,Detection,False,,2024-06-25,2024-06-25_05,,R50D6,,,2024-06-25T00:17:09.350000,,True,0.8123893141746521
,AM,,2024-06-25T00:23:52.980000,,,,,,,,Detection,False,,2024-06-25,2024-06-25_06,,R50D6,,,2024-06-25T00:23:52.980000,,True,0.5201500654220581
,AM,,2024-06-25T00:33:03.500000,,,,,,,,Detection,False,,2024-06-25,2024-06-25_07,,R50D6,,,2024-06-25T00:33:03.500000,,True,0.6508339643478394
,AM,,2024-06-25T01:02:37.730000,,,,,,,,Detection,False,,2024-06-25,2024-06-25_08,,R50D6,,,2024-06-25T01:02:37.730000,,True,0.5473450422286987
,AM,,2024-06-25T01:08:37,,,,,,,,Detection,False,,2024-06-25,2024-06-25_09,,R50D6,,,2024-06-25T01:08:37,,True,0.7564966082572937
,AM,,2024-06-25T01:32:13.580000,,,,,,,,Detection,False,,2024-06-25,2024-06-25_10,,R50D6,,,2024-06-25T01:32:13.580000,,True,0.8411667943000793
,AM,,,,,,,,,,Detection,False,,2024-06-25,2024-06-25_11,,R50D6,,,2024-06-25T01:32:14.310000,,True,
,AM,,2024-06-25T01:40:07.980000,,,,,,,,Detection,False,,2024-06-25,2024-06-25_12,,R50D6,,,2024-06-25T01:40:07.980000,,True,0.5330151319503784
,AM,,2024-06-25T02:01:52.270000,,,,,,,,Detection,False,,2024-06-25,2024-06-25_13,,R50D6,,,2024-06-25T02:01:52.270000,,True,0.7698072195053101
,AM,,,,,,,,,,Detection,False,,2024-06-25,2024-06-25_14,,R50D6,,,2024-06-25T02:03:34.730000,,True,
,AM,,2024-06-25T02:05:53.070000,,,,,,,,Detection,False,,2024-06-25,2024-06-25_15,,R50D6,,,2024-06-25T02:05:53.070000,,True,0.7103613615036011
,AM,,2024-06-25T02:13:22.950000,,,,,,,,Detection,False,,2024-06-25,2024-06-25_16,,R50D6,,,2024-06-25T02:13:22.950000,,True,0.7552328705787659
,AM,,2024-06-25T02:31:25.950000,,,,,,,,Detection,False,,2024-06-25,2024-06-25_17,,R50D6,,,2024-06-25T02:31:25.950000,,True,0.7886733412742615
,AM,,,,,,,,,,Detection,False,,2024-06-25,2024-06-25_18,,R50D6,,,2024-06-25T02:31:26.420000,,True,
,AM,,2024-06-25T02:45:54.280000,,,,,,,,Detection,False,,2024-06-25,2024-06-25_19,,R50D6,,,2024-06-25T02:45:54.280000,,True,0.5860633850097656
,AM,,2024-06-25T02:55:36.010000,,,,,,,,Detection,False,,2024-06-25,2024-06-25_20,,R50D6,,,2024-06-25T02:55:36.010000,,True,0.6496105194091797
,AM,,2024-06-25T02:59:08.580000,,,,,,,,Detection,False,,2024-06-25,2024-06-25_21,,R50D6,,,2024-06-25T02:59:08.580000,,True,0.7330949902534485
,AM,,2024-06-25T03:00:22.040000,,,,,,,,Detection,False,,2024-06-25,2024-06-25_22,,R50D6,,,2024-06-25T03:00:22.040000,,True,0.609175980091095
,AM,,2024-06-25T03:12:09.980000,,,,,,,,Detection,False,,2024-06-25,2024-06-25_23,,R50D6,,,2024-06-25T03:12:09.980000,,True,0.810779869556427
,AM,,2024-06-25T04:13:06,,,,,,,,Detection,False,,2024-06-25,2024-06-25_24,,R50D6,,,2024-06-25T04:13:06,,True,0.6757067441940308
,AM,,2024-06-25T04:29:35.790000,,,,,,,,Detection,False,,2024-06-25,2024-06-25_25,,R50D6,,,2024-06-25T04:29:35.790000,,True,0.625191330909729
,AM,,,,,,,,,,Detection,False,,2024-06-25,2024-06-25_26,,R50D6,,,2024-06-25T04:29:36.360000,,True,
,AM,,2024-06-25T05:00:21.810000,,,,,,,,Detection,False,,2024-06-25,2024-06-25_27,,R50D6,,,2024-06-25T05:00:21.810000,,True,0.6540848016738892
,AM,,2024-06-25T05:03:09,,,,,,,,Detection,False,,2024-06-25,2024-06-25_28,,R50D6,,,2024-06-25T05:03:09,,True,0.6154618859291077
,AM,,2024-06-25T05:05:59.490000,,,,,,,,Detection,False,,2024-06-25,2024-06-25_29,,R50D6,,,2024-06-25T05:05:59.490000,,True,0.5564485788345337
,AM,,2024-06-25T05:18:07.990000,,,,,,,,Detection,False,,2024-06-25,2024-06-25_30,,R50D6,,,2024-06-25T05:18:07.990000,,True,0.6759693622589111
,AM,,2024-06-25T05:19:05.990000,,,,,,,,Detection,False,,2024-06-25,2024-06-25_31,,R50D6,,,2024-06-25T05:19:05.990000,,True,0.5470495223999023
,AM,,2024-06-25T05:19:49.440000,,,,,,,,Detection,False,,2024-06-25,2024-06-25_32,,R50D6,,,2024-06-25T05:19:49.440000,,True,0.7590175867080688
,AM,,2024-06-25T05:26:06.040000,,,,,,,,Detection,False,,2024-06-25,2024-06-25_33,,R50D6,,,2024-06-25T05:26:06.040000,,True,0.6596559286117554
,AM,,2024-06-25T05:28:43.120000,,,,,,,,Detection,False,,2024-06-25,2024-06-25_34,,R50D6,,,2024-06-25T05:28:43.120000,,True,0.7879984974861145
,AM,,2024-06-25T05:29:19.600000,,,,,,,,Detection,False,,2024-06-25,2024-06-25_35,,R50D6,,,2024-06-25T05:29:19.600000,,True,0.7549906373023987
,AM,,2024-06-25T05:34:37,,,,,,,,Detection,False,,2024-06-25,2024-06-25_36,,R50D6,,,2024-06-25T05:34:37,,True,0.7270018458366394
,AM,,2024-06-25T05:39:22.270000,,,,,,,,Detection,False,,2024-06-25,2024-06-25_37,,R50D6,,,2024-06-25T05:39:22.270000,,True,0.5508782863616943
,AM,,2024-06-25T05:42:06.830000,,,,,,,,Detection,False,,2024-06-25,2024-06-25_38,,R50D6,,,2024-06-25T05:42:06.830000,,True,0.6365621089935303
,AM,,2024-06-25T05:55:12.920000,,,,,,,,Detection,False,,2024-06-25,2024-06-25_39,,R50D6,,,2024-06-25T05:55:12.920000,,True,0.7871834635734558
,AM,,,,,,,,,,Detection,False,,2024-06-25,2024-06-25_40,,R50D6,,,2024-06-25T05:55:13.370000,,True,
,AM,,2024-06-25T05:55:49.250000,,,,,,,,Detection,False,,2024-06-25,2024-06-25_41,,R50D6,,,2024-06-25T05:55:49.250000,,True,0.8282848596572876
,AM,,,,,,,,,,Detection,False,,2024-06-25,2024-06-25_42,,R50D6,,,2024-06-25T05:55:49.770000,,True,
,AM,,2024-06-25T05:56:00.100000,,,,,,,,Detection,False,,2024-06-25,2024-06-25_43,,R50D6,,,2024-06-25T05:56:00.100000,,True,0.7516413927078247
,AM,,2024-06-25T05:58:11.110000,,,,,,,,Detection,False,,2024-06-25,2024-06-25_44,,R50D6,,,2024-06-25T05:58:11.110000,,True,0.6665602922439575
,AM,,2024-06-25T05:58:20.810000,,,,,,,,Detection,False,,2024-06-25,2024-06-25_45,,R50D6,,,2024-06-25T05:58:20.810000,,True,0.6453230381011963
,AM,,2024-06-25T05:59:06.990000,,,,,,,,Detection,False,,2024-06-25,2024-06-25_46,,R50D6,,,2024-06-25T05:59:06.990000,,True,0.658649742603302
,AM,,2024-06-25T06:08:38.010000,,,,,,,,Detection,False,,2024-06-25,2024-06-25_47,,R50D6,,,2024-06-25T06:08:38.010000,,True,0.7243221402168274
,AM,,2024-06-25T06:16:38.010000,,,,,,,,Detection,False,,2024-06-25,2024-06-25_48,,R50D6,,,2024-06-25T06:16:38.010000,,True,0.8948732614517212
,AM,,2024-06-25T06:18:05,,,,,,,,Detection,False,,2024-06-25,2024-06-25_49,,R50D6,,,2024-06-25T06:18:05,,True,0.6801671981811523
,AM,,2024-06-25T06:30:08.020000,,,,,,,,Detection,False,,2024-06-25,2024-06-25_50,,R50D6,,,2024-06-25T06:30:08.020000,,True,0.8806499242782593
,AM,,2024-06-25T06:32:48.850000,,,,,,,,Detection,False,,2024-06-25,2024-06-25_51,,R50D6,,,2024-06-25T06:32:48.850000,,True,0.6009387373924255
,AM,,2024-06-25T06:37:37,,,,,,,,Detection,False,,2024-06-25,2024-06-25_52,,R50D6,,,2024-06-25T06:37:37,,True,0.866073727607727
,AM,,2024-06-25T06:39:35,,,,,,,,Detection,False,,2024-06-25,2024-06-25_53,,R50D6,,,2024-06-25T06:39:35,,True,0.639780580997467
,AM,,2024-06-25T06:41:51.070000,,,,,,,,Detection,False,,2024-06-25,2024-06-25_54,,R50D6,,,2024-06-25T06:41:51.070000,,True,0.6402053236961365
,AM,,2024-06-25T06:42:53.090000,,,,,,,,Detection,False,,2024-06-25,2024-06-25_55,,R50D6,,,2024-06-25T06:42:53.090000,,True,0.6297011971473694
,AM,,2024-06-25T06:47:41.930000,,,,,,,,Detection,False,,2024-06-25,2024-06-25_56,,R50D6,,,2024-06-25T06:47:41.930000,,True,0.5634654760360718
,AM,,2024-06-25T06:55:37,,,,,,,,Detection,False,,2024-06-25,2024-06-25_57,,R50D6,,,2024-06-25T06:55:37,,True,0.5551410913467407
,AM,,2024-06-25T07:00:35.010000,,,,,,,,Detection,False,,2024-06-25,2024-06-25_58,,R50D6,,,2024-06-25T07:00:35.010000,,True,0.7115647196769714
,AM,,2024-06-25T07:02:21.980000,,,,,,,,Detection,False,,2024-06-25,2024-06-25_59,,R50D6,,,2024-06-25T07:02:21.980000,,True,0.5569337606430054
,AM,,2024-06-25T07:03:45.920000,,,,,,,,Detection,False,,2024-06-25,2024-06-25_60,,R50D6,,,2024-06-25T07:03:45.920000,,True,0.7155454754829407
,AM,,2024-06-25T07:04:46.760000,,,,,,,,Detection,False,,2024-06-25,2024-06-25_61,,R50D6,,,2024-06-25T07:04:46.760000,,True,0.5338519811630249
,AM,,2024-06-25T07:11:02.050000,,,,,,,,Detection,False,,2024-06-25,2024-06-25_62,,R50D6,,,2024-06-25T07:11:02.050000,,True,0.7660011053085327
,AM,,2024-06-25T07:11:38.990000,,,,,,,,Detection,False,,2024-06-25,2024-06-25_63,,R50D6,,,2024-06-25T07:11:38.990000,,True,0.7309218049049377
,AM,,,,,,,,,,Detection,False,,2024-06-25,2024-06-25_64,,R50D6,,,2024-06-25T07:11:39.730000,,True,
,AM,,2024-06-25T07:11:54.170000,,,,,,,,Detection,False,,2024-06-25,2024-06-25_65,,R50D6,,,2024-06-25T07:11:54.170000,,True,0.5750194787979126
,AM,,2024-06-25T07:16:16.350000,,,,,,,,Detection,False,,2024-06-25,2024-06-25_66,,R50D6,,,2024-06-25T07:16:16.350000,,True,0.7275784015655518
,AM,,2024-06-25T07:16:50.050000,,,,,,,,Detection,False,,2024-06-25,2024-06-25_67,,R50D6,,,2024-06-25T07:16:50.050000,,True,0.8119251132011414
,AM,,2024-06-25T07:22:39,,,,,,,,Detection,False,,2024-06-25,2024-06-25_68,,R50D6,,,2024-06-25T07:22:39,,True,0.6989352107048035
,AM,,2024-06-25T07:27:36.980000,,,,,,,,Detection,False,,2024-06-25,2024-06-25_69,,R50D6,,,2024-06-25T07:27:36.980000,,True,0.6868669986724854
,AM,,2024-06-25T07:39:04.140000,,,,,,,,Detection,False,,2024-06-25,2024-06-25_70,,R50D6,,,2024-06-25T07:39:04.140000,,True,0.6745119690895081
,AM,,2024-06-25T07:43:20.490000,,,,,,,,Detection,False,,2024-06-25,2024-06-25_71,,R50D6,,,2024-06-25T07:43:20.490000,,True,0.5885565280914307
,AM,,2024-06-25T07:54:51.980000,,,,,,,,Detection,False,,2024-06-25,2024-06-25_72,,R50D6,,,2024-06-25T07:54:51.980000,,True,0.8960088491439819
