detected,plot_path,depth,mag,time,s_detected,unique_id,p_detected,catalogued,date,p_confidence,p_predicted,event_id,mag_type,code,network,s_confidence,s_predicted,long,s_error,lat,provider,epi_distance,p_error
False,,10.0,4.49,2024-07-02T21:36:13.460000,,2024-07-02_50,,True,2024-07-02,,2024-07-02T21:42:15.711818,smi:org.gfz-potsdam.de/geofon/gfz2024mxzv,mb,R50D6,AM,,2024-07-02T21:47:09.530591,-3.035,,83.77,GFZ,3225.397792087379,
False,,17.0,4.81,2024-07-02T19:34:36.780000,,2024-07-02_51,,True,2024-07-02,,2024-07-02T19:40:26.123796,smi:org.gfz-potsdam.de/geofon/gfz2024mxvv,mw,R50D6,AM,,2024-07-02T19:45:02.769761,24.879,,34.709,GFZ,3019.935347517231,
False,,15.3,4.67,2024-07-02T18:52:12.240000,,2024-07-02_52,,True,2024-07-02,,2024-07-02T18:58:02.349130,smi:org.gfz-potsdam.de/geofon/gfz2024mxuk,mw,R50D6,AM,,2024-07-02T19:02:39.464255,24.847,,34.596,GFZ,3028.686660510045,
False,,12.2,4.88,2024-07-02T15:32:44.670000,,2024-07-02_53,,True,2024-07-02,,2024-07-02T15:45:21.037165,smi:org.gfz-potsdam.de/geofon/gfz2024mxnn,mb,R50D6,AM,,2024-07-02T15:55:50.960211,142.591,,35.519,GFZ,9408.32855585497,
False,,10.0,3.89,2024-07-02T10:19:37.860000,,2024-07-02_54,,True,2024-07-02,,2024-07-02T10:23:31.956150,smi:org.gfz-potsdam.de/geofon/gfz2024mxdn,mb,R50D6,AM,,2024-07-02T10:26:44.793124,17.971,,44.344,GFZ,1813.5313964179445,
True,https://raw.githubusercontent.com/QingyuanZhangTony/test/main/data\AM.R50D6/2024-07-02/report/2024-07-02_55_event_plot.png?raw=true,2.8,2.64,2024-07-02T09:22:18.690000,,2024-07-02_55,2024-07-02T09:25:19.620000,True,2024-07-02,0.724919319152832,2024-07-02T09:25:29.550010,smi:org.gfz-potsdam.de/geofon/gfz2024mxbp,m,R50D6,AM,,2024-07-02T09:28:00.078163,19.073,,50.178,GFZ,1481.2488866299962,-9.93001
False,,218.8,4.58,2024-07-02T06:23:53.170000,,2024-07-02_56,,True,2024-07-02,,2024-07-02T06:36:39.300195,smi:org.gfz-potsdam.de/geofon/gfz2024mwvs,mb,R50D6,AM,,2024-07-02T06:47:18.741497,125.046,,26.646,GFZ,9632.600159082547,
False,,112.4,4.51,2024-07-02T01:09:09.690000,,2024-07-02_57,,True,2024-07-02,,2024-07-02T01:18:19.337791,smi:org.gfz-potsdam.de/geofon/gfz2024mwli,mb,R50D6,AM,,2024-07-02T01:25:43.544996,71.241,,36.162,GFZ,5749.556873479963,
True,,,,2024-07-02T00:00:39.980000,,2024-07-02_09,2024-07-02T00:00:39.980000,False,2024-07-02,0.4314508736133575,,,,R50D6,AM,,,,,,Detection,,
True,,,,2024-07-02T00:01:37.010000,,2024-07-02_10,2024-07-02T00:01:37.010000,False,2024-07-02,0.7173632383346558,,,,R50D6,AM,,,,,,Detection,,
True,,,,2024-07-02T00:05:21.970000,,2024-07-02_11,2024-07-02T00:05:21.970000,False,2024-07-02,0.3539214730262756,,,,R50D6,AM,,,,,,Detection,,
True,,,,2024-07-02T00:05:48.040000,,2024-07-02_12,2024-07-02T00:05:48.040000,False,2024-07-02,0.254430890083313,,,,R50D6,AM,,,,,,Detection,,
True,,,,2024-07-02T00:19:02.080000,,2024-07-02_13,2024-07-02T00:19:02.080000,False,2024-07-02,0.7485466003417969,,,,R50D6,AM,,,,,,Detection,,
True,,,,2024-07-02T00:21:09.990000,,2024-07-02_14,2024-07-02T00:21:09.990000,False,2024-07-02,0.6395738124847412,,,,R50D6,AM,,,,,,Detection,,
True,,,,2024-07-02T00:27:52.030000,,2024-07-02_15,2024-07-02T00:27:52.030000,False,2024-07-02,0.368410974740982,,,,R50D6,AM,,,,,,Detection,,
True,,,,2024-07-02T00:48:39,,2024-07-02_16,2024-07-02T00:48:39,False,2024-07-02,0.5557636022567749,,,,R50D6,AM,,,,,,Detection,,
True,,,,2024-07-02T00:57:07.970000,,2024-07-02_17,2024-07-02T00:57:07.970000,False,2024-07-02,0.2029535323381424,,,,R50D6,AM,,,,,,Detection,,
True,,,,2024-07-02T01:03:21.090000,,2024-07-02_18,2024-07-02T01:03:21.090000,False,2024-07-02,0.8117026090621948,,,,R50D6,AM,,,,,,Detection,,
True,,,,2024-07-02T01:04:02.960000,,2024-07-02_19,2024-07-02T01:04:02.960000,False,2024-07-02,0.3866664469242096,,,,R50D6,AM,,,,,,Detection,,
True,,,,2024-07-02T01:08:40,,2024-07-02_20,2024-07-02T01:08:40,False,2024-07-02,0.555453360080719,,,,R50D6,AM,,,,,,Detection,,
True,,,,2024-07-02T01:12:08.020000,,2024-07-02_21,2024-07-02T01:12:08.020000,False,2024-07-02,0.6566737294197083,,,,R50D6,AM,,,,,,Detection,,
True,,,,2024-07-02T01:13:52.060000,,2024-07-02_22,2024-07-02T01:13:52.060000,False,2024-07-02,0.5504835247993469,,,,R50D6,AM,,,,,,Detection,,
True,,,,2024-07-02T01:17:21.400000,,2024-07-02_23,2024-07-02T01:17:21.400000,False,2024-07-02,0.3322044610977173,,,,R50D6,AM,,,,,,Detection,,
True,,,,2024-07-02T01:18:34.710000,,2024-07-02_24,2024-07-02T01:18:34.710000,False,2024-07-02,0.5328414440155029,,,,R50D6,AM,,,,,,Detection,,
True,,,,2024-07-02T01:21:51.050000,,2024-07-02_25,2024-07-02T01:21:51.050000,False,2024-07-02,0.4079867899417877,,,,R50D6,AM,,,,,,Detection,,
True,,,,2024-07-02T01:21:52.030000,,2024-07-02_26,2024-07-02T01:21:52.030000,False,2024-07-02,0.3550686538219452,,,,R50D6,AM,,,,,,Detection,,
True,,,,2024-07-02T01:38:06.810000,,2024-07-02_27,2024-07-02T01:38:06.810000,False,2024-07-02,0.6474926471710205,,,,R50D6,AM,,,,,,Detection,,
True,,,,2024-07-02T01:41:48.100000,,2024-07-02_28,2024-07-02T01:41:48.100000,False,2024-07-02,0.2423915117979049,,,,R50D6,AM,,,,,,Detection,,
True,,,,2024-07-02T01:45:08,,2024-07-02_29,2024-07-02T01:45:08,False,2024-07-02,0.7530486583709717,,,,R50D6,AM,,,,,,Detection,,
True,,,,2024-07-02T01:46:05,,2024-07-02_30,2024-07-02T01:46:05,False,2024-07-02,0.2875535488128662,,,,R50D6,AM,,,,,,Detection,,
True,,,,2024-07-02T01:46:05.980000,,2024-07-02_31,2024-07-02T01:46:05.980000,False,2024-07-02,0.2491456419229507,,,,R50D6,AM,,,,,,Detection,,
True,,,,2024-07-02T01:48:20.470000,,2024-07-02_32,2024-07-02T01:48:20.470000,False,2024-07-02,0.7948740124702454,,,,R50D6,AM,,,,,,Detection,,
True,,,,2024-07-02T01:51:03.930000,,2024-07-02_33,2024-07-02T01:51:03.930000,False,2024-07-02,0.2647052109241485,,,,R50D6,AM,,,,,,Detection,,
True,,,,2024-07-02T01:53:41.280000,,2024-07-02_34,2024-07-02T01:53:41.280000,False,2024-07-02,0.7994997501373291,,,,R50D6,AM,,,,,,Detection,,
True,,,,2024-07-02T01:59:36.050000,,2024-07-02_35,2024-07-02T01:59:36.050000,False,2024-07-02,0.6756974458694458,,,,R50D6,AM,,,,,,Detection,,
True,,,,2024-07-02T01:59:36.970000,,2024-07-02_36,2024-07-02T01:59:36.970000,False,2024-07-02,0.4180437922477722,,,,R50D6,AM,,,,,,Detection,,
True,,,,2024-07-02T02:01:05,,2024-07-02_37,2024-07-02T02:01:05,False,2024-07-02,0.7229241132736206,,,,R50D6,AM,,,,,,Detection,,
True,,,,2024-07-02T02:07:06.010000,,2024-07-02_38,2024-07-02T02:07:06.010000,False,2024-07-02,0.610774040222168,,,,R50D6,AM,,,,,,Detection,,
True,,,,2024-07-02T02:10:54.010000,,2024-07-02_39,2024-07-02T02:10:54.010000,False,2024-07-02,0.3401120007038116,,,,R50D6,AM,,,,,,Detection,,
True,,,,2024-07-02T02:11:56,,2024-07-02_40,2024-07-02T02:11:56,False,2024-07-02,0.5492922067642212,,,,R50D6,AM,,,,,,Detection,,
True,,,,2024-07-02T02:16:06.950000,,2024-07-02_41,2024-07-02T02:16:06.950000,False,2024-07-02,0.6884869337081909,,,,R50D6,AM,,,,,,Detection,,
True,,,,2024-07-02T02:16:20.270000,,2024-07-02_42,2024-07-02T02:16:20.270000,False,2024-07-02,0.2143910676240921,,,,R50D6,AM,,,,,,Detection,,
True,,,,2024-07-02T02:17:41.990000,,2024-07-02_43,2024-07-02T02:17:41.990000,False,2024-07-02,0.8567650318145752,,,,R50D6,AM,,,,,,Detection,,
True,,,,2024-07-02T02:17:42.600000,,2024-07-02_44,,False,2024-07-02,,,,,R50D6,AM,,,,,,Detection,,
True,,,,2024-07-02T02:33:06.970000,,2024-07-02_45,2024-07-02T02:33:06.970000,False,2024-07-02,0.315421998500824,,,,R50D6,AM,,,,,,Detection,,
True,,,,2024-07-02T02:43:18.890000,,2024-07-02_46,2024-07-02T02:43:18.890000,False,2024-07-02,0.2310352176427841,,,,R50D6,AM,,,,,,Detection,,
