s_detected,event_id,mag,provider,s_error,lat,date,long,p_detected,s_predicted,depth,s_confidence,p_confidence,p_error,code,time,network,unique_id,epi_distance,catalogued,detected,mag_type,plot_path,p_predicted
,smi:org.gfz-potsdam.de/geofon/gfz2024qcgx,4.63,GFZ,,23.782,2024-08-16,121.598,,2024-08-16T22:43:03.016201,10.0,,,,R50D6,2024-08-16T22:19:27.520000,AM,2024-08-16_93,9748.712030687337,True,False,mb,,2024-08-16T22:32:18.663671
,smi:org.gfz-potsdam.de/geofon/gfz2024qbom,4.96,GFZ,,18.126,2024-08-16,-76.799,,2024-08-16T13:21:26.587209,10.0,,,,R50D6,2024-08-16T13:01:38.090000,AM,2024-08-16_94,7428.632412061615,True,False,mb,,2024-08-16T13:12:31.913490
,smi:org.gfz-potsdam.de/geofon/gfz2024qbja,4.75,GFZ,,35.005,2024-08-16,36.996,2024-08-16T10:21:54.090000,2024-08-16T10:27:37.333514,10.0,,0.1404640525579452,-22.06679,R50D6,2024-08-16T10:15:38.540000,AM,2024-08-16_95,3676.2617325445785,True,True,mb,https://raw.githubusercontent.com/QingyuanZhangTony/test/main/data/AM.R50D6/2024-08-16/report/2024-08-16_95_event_plot.png?raw=true,2024-08-16T10:22:16.156790
,smi:org.gfz-potsdam.de/geofon/gfz2024qaqw,4.64,GFZ,,37.152,2024-08-16,71.556,,2024-08-16T01:21:46.547255,113.1,,,,R50D6,2024-08-16T01:05:19.880000,AM,2024-08-16_96,5691.34488519961,True,False,mb,,2024-08-16T01:14:25.625838
,,,Detection,,,2024-08-16,,2024-08-15T23:57:51.030000,,,,0.7494275569915771,,R50D6,2024-08-15T23:57:51.030000,AM,2024-08-16_05,,False,True,,,
,,,Detection,,,2024-08-16,,2024-08-15T23:58:15.700000,,,,0.4127679169178009,,R50D6,2024-08-15T23:58:15.700000,AM,2024-08-16_06,,False,True,,,
,,,Detection,,,2024-08-16,,2024-08-15T23:58:43.040000,,,,0.6936536431312561,,R50D6,2024-08-15T23:58:43.040000,AM,2024-08-16_07,,False,True,,,
,,,Detection,,,2024-08-16,,2024-08-15T23:59:07.520000,,,,0.2211021333932876,,R50D6,2024-08-15T23:59:07.520000,AM,2024-08-16_08,,False,True,,,
,,,Detection,,,2024-08-16,,2024-08-15T23:59:53.040000,,,,0.5936001539230347,,R50D6,2024-08-15T23:59:53.040000,AM,2024-08-16_09,,False,True,,,
,,,Detection,,,2024-08-16,,2024-08-16T00:09:30.920000,,,,0.2425529360771179,,R50D6,2024-08-16T00:09:30.920000,AM,2024-08-16_10,,False,True,,,
,,,Detection,,,2024-08-16,,2024-08-16T00:09:50.630000,,,,0.2750227451324463,,R50D6,2024-08-16T00:09:50.630000,AM,2024-08-16_11,,False,True,,,
,,,Detection,,,2024-08-16,,2024-08-16T00:11:16.060000,,,,0.230081707239151,,R50D6,2024-08-16T00:11:16.060000,AM,2024-08-16_12,,False,True,,,
,,,Detection,,,2024-08-16,,2024-08-16T00:11:46.360000,,,,0.214113101363182,,R50D6,2024-08-16T00:11:46.360000,AM,2024-08-16_13,,False,True,,,
,,,Detection,,,2024-08-16,,2024-08-16T00:14:05,,,,0.1135662198066711,,R50D6,2024-08-16T00:14:05,AM,2024-08-16_14,,False,True,,,
,,,Detection,,,2024-08-16,,2024-08-16T00:14:17.950000,,,,0.129497691988945,,R50D6,2024-08-16T00:14:17.950000,AM,2024-08-16_15,,False,True,,,
,,,Detection,,,2024-08-16,,2024-08-16T00:19:33.940000,,,,0.1627925634384155,,R50D6,2024-08-16T00:19:33.940000,AM,2024-08-16_16,,False,True,,,
,,,Detection,,,2024-08-16,,2024-08-16T00:21:39.870000,,,,0.4823084771633148,,R50D6,2024-08-16T00:21:39.870000,AM,2024-08-16_17,,False,True,,,
,,,Detection,,,2024-08-16,,2024-08-16T00:23:22.940000,,,,0.292586088180542,,R50D6,2024-08-16T00:23:22.940000,AM,2024-08-16_18,,False,True,,,
,,,Detection,,,2024-08-16,,2024-08-16T00:26:39.980000,,,,0.8610008955001831,,R50D6,2024-08-16T00:26:39.980000,AM,2024-08-16_19,,False,True,,,
,,,Detection,,,2024-08-16,,2024-08-16T00:33:16.280000,,,,0.3778737485408783,,R50D6,2024-08-16T00:33:16.280000,AM,2024-08-16_20,,False,True,,,
,,,Detection,,,2024-08-16,,2024-08-16T00:38:55,,,,0.6954545378684998,,R50D6,2024-08-16T00:38:55,AM,2024-08-16_21,,False,True,,,
,,,Detection,,,2024-08-16,,2024-08-16T00:39:12.540000,,,,0.2316454499959945,,R50D6,2024-08-16T00:39:12.540000,AM,2024-08-16_22,,False,True,,,
,,,Detection,,,2024-08-16,,2024-08-16T00:39:35,,,,0.4299213886260986,,R50D6,2024-08-16T00:39:35,AM,2024-08-16_23,,False,True,,,
,,,Detection,,,2024-08-16,,2024-08-16T00:39:36.010000,,,,0.3202832639217376,,R50D6,2024-08-16T00:39:36.010000,AM,2024-08-16_24,,False,True,,,
,,,Detection,,,2024-08-16,,2024-08-16T00:42:21.060000,,,,0.112785667181015,,R50D6,2024-08-16T00:42:21.060000,AM,2024-08-16_25,,False,True,,,
,,,Detection,,,2024-08-16,,2024-08-16T00:52:42.720000,,,,0.3405162692070007,,R50D6,2024-08-16T00:52:42.720000,AM,2024-08-16_26,,False,True,,,
,,,Detection,,,2024-08-16,,2024-08-16T00:53:22.900000,,,,0.2680132985115051,,R50D6,2024-08-16T00:53:22.900000,AM,2024-08-16_27,,False,True,,,
,,,Detection,,,2024-08-16,,2024-08-16T01:00:53.060000,,,,0.6559802889823914,,R50D6,2024-08-16T01:00:53.060000,AM,2024-08-16_28,,False,True,,,
,,,Detection,,,2024-08-16,,2024-08-16T01:02:07.940000,,,,0.116126000881195,,R50D6,2024-08-16T01:02:07.940000,AM,2024-08-16_29,,False,True,,,
,,,Detection,,,2024-08-16,,2024-08-16T01:09:51.070000,,,,0.6005986928939819,,R50D6,2024-08-16T01:09:51.070000,AM,2024-08-16_30,,False,True,,,
,,,Detection,,,2024-08-16,,2024-08-16T01:09:52.030000,,,,0.1290962398052215,,R50D6,2024-08-16T01:09:52.030000,AM,2024-08-16_31,,False,True,,,
,,,Detection,,,2024-08-16,,2024-08-16T01:15:19.950000,,,,0.1624369472265243,,R50D6,2024-08-16T01:15:19.950000,AM,2024-08-16_32,,False,True,,,
,,,Detection,,,2024-08-16,,2024-08-16T01:15:20.920000,,,,0.2816944718360901,,R50D6,2024-08-16T01:15:20.920000,AM,2024-08-16_33,,False,True,,,
,,,Detection,,,2024-08-16,,2024-08-16T01:15:52.050000,,,,0.236100360751152,,R50D6,2024-08-16T01:15:52.050000,AM,2024-08-16_34,,False,True,,,
,,,Detection,,,2024-08-16,,2024-08-16T01:15:53.070000,,,,0.1241284385323524,,R50D6,2024-08-16T01:15:53.070000,AM,2024-08-16_35,,False,True,,,
