unique_id,detected,s_predicted,network,event_id,lat,plot_path,depth,mag,code,s_confidence,date,s_detected,mag_type,p_detected,long,s_error,catalogued,time,p_error,provider,p_confidence,p_predicted,epi_distance
2024-08-23_175,False,2024-08-24T00:18:36.751902,AM,smi:org.gfz-potsdam.de/geofon/gfz2024qpeq,52.913,,10.0,4.88,R50D6,,2024-08-23,,mb,,160.76,,True,2024-08-23T23:57:52.840000,,GFZ,,2024-08-24T00:09:15.769757,7931.592494334927
2024-08-23_176,False,2024-08-23T21:58:27.230078,AM,smi:org.gfz-potsdam.de/geofon/gfz2024qpaa,52.996,,10.0,5.15,R50D6,,2024-08-23,,mb,,160.815,,True,2024-08-23T21:37:44.190000,,GFZ,,2024-08-23T21:49:06.663885,7923.202548334168
2024-08-23_177,False,2024-08-23T20:48:59.805142,AM,smi:org.gfz-potsdam.de/geofon/gfz2024qoxv,39.843,,10.0,4.75,R50D6,,2024-08-23,,mb,,71.205,,True,2024-08-23T20:33:01.880000,,GFZ,,2024-08-23T20:41:51.986244,5461.313892546101
2024-08-23_178,False,2024-08-23T19:39:47.749649,AM,smi:org.gfz-potsdam.de/geofon/gfz2024qovl,53.003,,10.0,5.17,R50D6,,2024-08-23,,mb,,160.621,,True,2024-08-23T19:19:05.040000,,GFZ,,2024-08-23T19:30:27.341091,7920.030103429638
2024-08-23_179,False,2024-08-23T17:19:15.076658,AM,smi:org.gfz-potsdam.de/geofon/gfz2024qorj,51.498,,0.8,3.4,R50D6,,2024-08-23,,mb,,16.27,,True,2024-08-23T17:14:26.890000,,GFZ,,2024-08-23T17:17:08.016681,1239.9548271053554
2024-08-23_180,False,2024-08-23T07:30:24.687955,AM,smi:org.gfz-potsdam.de/geofon/gfz2024qnxk,52.771,,29.0,5.18,R50D6,,2024-08-23,,mb,,160.908,,True,2024-08-23T07:09:38.980000,,GFZ,,2024-08-23T07:21:02.848393,7948.942227380042
2024-08-23_181,False,2024-08-23T05:27:34.706184,AM,smi:org.gfz-potsdam.de/geofon/gfz2024qnti,52.735,,10.0,5.4,R50D6,,2024-08-23,,m,,160.99,,True,2024-08-23T05:06:48.480000,,GFZ,,2024-08-23T05:18:12.619613,7953.886707137593
2024-08-23_08,True,,AM,,,,,,R50D6,,2024-08-23,,,2024-08-22T23:56:35.900000,,,False,2024-08-22T23:56:35.900000,,Detection,0.8153244853019714,,
2024-08-23_09,True,,AM,,,,,,R50D6,,2024-08-23,,,,,,False,2024-08-23T00:26:53.970000,,Detection,,,
2024-08-23_10,True,,AM,,,,,,R50D6,,2024-08-23,,,2024-08-23T00:37:06,,,False,2024-08-23T00:37:06,,Detection,0.5757492780685425,,
