time,lat,detected,epi_distance,code,plot_path,depth,long,date,p_detected,p_confidence,unique_id,s_detected,network,s_confidence,catalogued,p_error,s_predicted,mag,s_error,provider,mag_type,p_predicted,event_id
2024-06-03T22:38:27.750000,33.523,False,6619.435800648013,R50D6,,10.0,81.753,2024-06-03,,,2024-06-03_77,,AM,,True,,2024-06-03T22:56:46.153843,4.42,,GFZ,mb,2024-06-03T22:48:33.717031,smi:org.gfz-potsdam.de/geofon/gfz2024kxch
2024-06-03T22:03:42.830000,42.582,False,3504.637702176199,R50D6,,10.0,43.549,2024-06-03,,,2024-06-03_78,,AM,,True,,2024-06-03T22:15:18.081493,4.75,,GFZ,mb,2024-06-03T22:10:07.190939,smi:org.gfz-potsdam.de/geofon/gfz2024kxbd
2024-06-03T21:48:32.990000,71.461,False,1858.5466017298133,R50D6,,10.0,-3.412,2024-06-03,,,2024-06-03_79,,AM,,True,,2024-06-03T21:55:48.584336,4.3,,GFZ,mb,2024-06-03T21:52:31.786958,smi:org.gfz-potsdam.de/geofon/gfz2024kxaq
2024-06-03T18:54:06.360000,34.219,False,6843.374820921248,R50D6,,10.0,86.378,2024-06-03,,,2024-06-03_80,,AM,,True,,2024-06-03T19:12:50.646587,4.44,,GFZ,mb,2024-06-03T19:04:26.140726,smi:org.gfz-potsdam.de/geofon/gfz2024kwuw
2024-06-03T13:35:40.480000,24.307,False,6426.520129860235,R50D6,,13.2,66.465,2024-06-03,,,2024-06-03_81,,AM,,True,,2024-06-03T13:53:35.573051,4.85,,GFZ,mb,2024-06-03T13:45:33.961350,smi:org.gfz-potsdam.de/geofon/gfz2024kwkj
2024-06-03T06:41:52.150000,29.614,False,4302.279489804618,R50D6,,10.0,-42.845,2024-06-03,,,2024-06-03_82,,AM,,True,,2024-06-03T06:55:16.889517,5.72,,GFZ,mw,2024-06-03T06:49:17.860086,smi:org.gfz-potsdam.de/geofon/gfz2024kvwt
2024-06-03T00:12:21.400000,,True,,R50D6,,,,2024-06-03,2024-06-03T00:12:21.400000,0.5143789052963257,2024-06-03_07,,AM,,False,,,,,Detection,,,
2024-06-03T00:15:06.010000,,True,,R50D6,,,,2024-06-03,2024-06-03T00:15:06.010000,0.541663408279419,2024-06-03_08,,AM,,False,,,,,Detection,,,
2024-06-03T00:28:00.560000,,True,,R50D6,,,,2024-06-03,2024-06-03T00:28:00.560000,0.7548263072967529,2024-06-03_09,,AM,,False,,,,,Detection,,,
2024-06-03T00:46:53.150000,,True,,R50D6,,,,2024-06-03,2024-06-03T00:46:53.150000,0.6055186986923218,2024-06-03_10,,AM,,False,,,,,Detection,,,
2024-06-03T01:20:22.200000,,True,,R50D6,,,,2024-06-03,2024-06-03T01:20:22.200000,0.6114426255226135,2024-06-03_11,,AM,,False,,,,,Detection,,,
2024-06-03T01:44:38.020000,,True,,R50D6,,,,2024-06-03,2024-06-03T01:44:38.020000,0.5945735573768616,2024-06-03_12,,AM,,False,,,,,Detection,,,
2024-06-03T02:16:21.840000,,True,,R50D6,,,,2024-06-03,2024-06-03T02:16:21.840000,0.6169153451919556,2024-06-03_13,,AM,,False,,,,,Detection,,,
2024-06-03T02:20:41.130000,,True,,R50D6,,,,2024-06-03,2024-06-03T02:20:41.130000,0.5170890092849731,2024-06-03_14,,AM,,False,,,,,Detection,,,
2024-06-03T02:50:54.970000,,True,,R50D6,,,,2024-06-03,2024-06-03T02:50:54.970000,0.7913762331008911,2024-06-03_15,,AM,,False,,,,,Detection,,,
2024-06-03T02:51:34.130000,,True,,R50D6,,,,2024-06-03,2024-06-03T02:51:34.130000,0.5922659039497375,2024-06-03_16,,AM,,False,,,,,Detection,,,
2024-06-03T03:13:52.150000,,True,,R50D6,,,,2024-06-03,2024-06-03T03:13:52.150000,0.6648499965667725,2024-06-03_17,,AM,,False,,,,,Detection,,,
2024-06-03T03:54:06.240000,,True,,R50D6,,,,2024-06-03,2024-06-03T03:54:06.240000,0.5791968703269958,2024-06-03_18,,AM,,False,,,,,Detection,,,
