p_detected,plot_path,epi_distance,time,depth,detected,p_predicted,catalogued,mag_type,network,date,s_confidence,long,mag,s_error,p_confidence,provider,event_id,s_detected,lat,unique_id,p_error,s_predicted,code
2024-07-01T20:10:53.100000,https://raw.githubusercontent.com/QingyuanZhangTony/test/main/data\AM.R50D6/2024-07-01/report/2024-07-01_11_event_plot.png?raw=true,8590.62436826197,2024-07-01T19:58:50,54.0,True,2024-07-01T20:10:47.368918,True,mb,AM,2024-07-01,,149.915,4.88,,0.45172417163848877,GFZ,smi:org.gfz-potsdam.de/geofon/gfz2024mwbc,,45.088,2024-07-01_11,5.731082,2024-07-01T20:20:40.175780,R50D6
2024-07-01T17:20:50.560000,https://raw.githubusercontent.com/QingyuanZhangTony/test/main/data\AM.R50D6/2024-07-01/report/2024-07-01_12_event_plot.png?raw=true,6433.1415294837825,2024-07-01T17:11:02.830000,10.0,True,2024-07-01T17:20:56.180316,True,mb,AM,2024-07-01,,51.896,4.78,,0.5057298541069031,GFZ,smi:org.gfz-potsdam.de/geofon/gfz2024mvvo,,14.094,2024-07-01_12,-5.620316,2024-07-01T17:28:57.678779,R50D6
2024-07-01T10:30:06.490000,https://raw.githubusercontent.com/QingyuanZhangTony/test/main/data\AM.R50D6/2024-07-01/report/2024-07-01_13_event_plot.png?raw=true,5751.450207951973,2024-07-01T10:21:03.420000,35.0,True,2024-07-01T10:30:13.259371,True,mb,AM,2024-07-01,,73.35,4.67,,0.40285488963127136,GFZ,smi:org.gfz-potsdam.de/geofon/gfz2024mvib,,37.817,2024-07-01_13,-6.769371,2024-07-01T10:37:37.626383,R50D6
2024-07-01T00:00:07.960000,,,2024-07-01T00:00:07.960000,,True,,False,,AM,2024-07-01,,,,,0.3338204622268677,Detection,,,,2024-07-01_04,,,R50D6
2024-07-01T00:02:23,,,2024-07-01T00:02:23,,True,,False,,AM,2024-07-01,,,,,0.23941108584403992,Detection,,,,2024-07-01_05,,,R50D6
2024-07-01T00:02:24,,,2024-07-01T00:02:24,,True,,False,,AM,2024-07-01,,,,,0.2900541126728058,Detection,,,,2024-07-01_06,,,R50D6
2024-07-01T00:03:08.010000,,,2024-07-01T00:03:08.010000,,True,,False,,AM,2024-07-01,,,,,0.8539195656776428,Detection,,,,2024-07-01_07,,,R50D6
2024-07-01T00:04:37,,,2024-07-01T00:04:37,,True,,False,,AM,2024-07-01,,,,,0.8368495106697083,Detection,,,,2024-07-01_08,,,R50D6
2024-07-01T00:06:21.920000,,,2024-07-01T00:06:21.920000,,True,,False,,AM,2024-07-01,,,,,0.6938788294792175,Detection,,,,2024-07-01_09,,,R50D6
2024-07-01T00:13:22.330000,,,2024-07-01T00:13:22.330000,,True,,False,,AM,2024-07-01,,,,,0.41743704676628113,Detection,,,,2024-07-01_10,,,R50D6
2024-07-01T00:20:40.330000,,,2024-07-01T00:20:40.330000,,True,,False,,AM,2024-07-01,,,,,0.44326990842819214,Detection,,,,2024-07-01_11,,,R50D6
2024-07-01T00:21:08.010000,,,2024-07-01T00:21:08.010000,,True,,False,,AM,2024-07-01,,,,,0.4963160753250122,Detection,,,,2024-07-01_12,,,R50D6
2024-07-01T00:22:39.260000,,,2024-07-01T00:22:39.260000,,True,,False,,AM,2024-07-01,,,,,0.2314765900373459,Detection,,,,2024-07-01_13,,,R50D6
2024-07-01T00:29:53.070000,,,2024-07-01T00:29:53.070000,,True,,False,,AM,2024-07-01,,,,,0.5228073596954346,Detection,,,,2024-07-01_14,,,R50D6
2024-07-01T00:30:39.510000,,,2024-07-01T00:30:39.510000,,True,,False,,AM,2024-07-01,,,,,0.5483081340789795,Detection,,,,2024-07-01_15,,,R50D6
2024-07-01T00:41:06.720000,,,2024-07-01T00:41:06.720000,,True,,False,,AM,2024-07-01,,,,,0.286628395318985,Detection,,,,2024-07-01_16,,,R50D6
2024-07-01T00:41:35,,,2024-07-01T00:41:35,,True,,False,,AM,2024-07-01,,,,,0.21962548792362213,Detection,,,,2024-07-01_17,,,R50D6
