detected,mag,network,date,p_error,long,s_detected,mag_type,depth,s_confidence,time,provider,event_id,p_predicted,code,s_error,epi_distance,p_confidence,s_predicted,catalogued,lat,unique_id,p_detected,plot_path
False,4.97,AM,2024-08-23,,160.846,,mb,5.3,,2024-08-23T23:57:51.560000,GFZ,smi:org.gfz-potsdam.de/geofon/gfz2024qpeq,2024-08-24T00:09:14.868890,R50D6,,7938.558341793679,,2024-08-24T00:18:36.196884,True,52.859,2024-08-23_175,,
False,5.05,AM,2024-08-23,,160.942,,mb,10.0,,2024-08-23T21:37:43.590000,GFZ,smi:org.gfz-potsdam.de/geofon/gfz2024qpaa,2024-08-23T21:49:07.146329,R50D6,,7943.129842194111,,2024-08-23T21:58:28.700344,True,52.828,2024-08-23_176,,
False,4.75,AM,2024-08-23,,71.209,,mb,18.2,,2024-08-23T20:33:03.150000,GFZ,smi:org.gfz-potsdam.de/geofon/gfz2024qoxv,2024-08-23T20:41:53.240757,R50D6,,5461.106003045571,,2024-08-23T20:49:01.046908,True,39.849,2024-08-23_177,,
False,5.17,AM,2024-08-23,,160.621,,mb,10.0,,2024-08-23T19:19:05.040000,GFZ,smi:org.gfz-potsdam.de/geofon/gfz2024qovl,2024-08-23T19:30:27.341091,R50D6,,7920.030103429638,,2024-08-23T19:39:47.749649,True,53.003,2024-08-23_178,,
False,3.4,AM,2024-08-23,,16.27,,mb,0.8,,2024-08-23T17:14:26.890000,GFZ,smi:org.gfz-potsdam.de/geofon/gfz2024qorj,2024-08-23T17:17:08.016681,R50D6,,1239.9548271053554,,2024-08-23T17:19:15.076658,True,51.498,2024-08-23_179,,
False,5.18,AM,2024-08-23,,160.908,,mb,29.0,,2024-08-23T07:09:38.980000,GFZ,smi:org.gfz-potsdam.de/geofon/gfz2024qnxk,2024-08-23T07:21:02.848393,R50D6,,7948.942227380042,,2024-08-23T07:30:24.687955,True,52.771,2024-08-23_180,,
False,5.4,AM,2024-08-23,,160.99,,m,10.0,,2024-08-23T05:06:48.480000,GFZ,smi:org.gfz-potsdam.de/geofon/gfz2024qnti,2024-08-23T05:18:12.619613,R50D6,,7953.886707137593,,2024-08-23T05:27:34.706184,True,52.735,2024-08-23_181,,
True,,AM,2024-08-23,,,,,,,2024-08-22T23:56:35.900000,Detection,,,R50D6,,,0.8153244853019714,,False,,2024-08-23_08,2024-08-22T23:56:35.900000,
True,,AM,2024-08-23,,,,,,,2024-08-23T00:05:05,Detection,,,R50D6,,,0.3499375879764557,,False,,2024-08-23_09,2024-08-23T00:05:05,
True,,AM,2024-08-23,,,,,,,2024-08-23T00:16:52.060000,Detection,,,R50D6,,,0.319323867559433,,False,,2024-08-23_10,2024-08-23T00:16:52.060000,
True,,AM,2024-08-23,,,,,,,2024-08-23T00:19:54.070000,Detection,,,R50D6,,,0.4228337109088897,,False,,2024-08-23_11,2024-08-23T00:19:54.070000,
True,,AM,2024-08-23,,,,,,,2024-08-23T00:23:19.190000,Detection,,,R50D6,,,0.2961203157901764,,False,,2024-08-23_12,2024-08-23T00:23:19.190000,
True,,AM,2024-08-23,,,,,,,2024-08-23T00:26:52.990000,Detection,,,R50D6,,,0.3993456959724426,,False,,2024-08-23_13,2024-08-23T00:26:52.990000,
True,,AM,2024-08-23,,,,,,,2024-08-23T00:26:53.970000,Detection,,,R50D6,,,,,False,,2024-08-23_14,,
True,,AM,2024-08-23,,,,,,,2024-08-23T00:37:06,Detection,,,R50D6,,,0.5757492780685425,,False,,2024-08-23_15,2024-08-23T00:37:06,
