event_id,long,p_error,mag_type,date,p_detected,p_confidence,catalogued,lat,depth,s_confidence,detected,network,s_predicted,provider,mag,p_predicted,plot_path,code,epi_distance,time,s_error,s_detected,unique_id
smi:org.gfz-potsdam.de/geofon/gfz2024qpeq,160.846,,mb,2024-08-23,,,True,52.859,5.3,,False,AM,2024-08-24T00:18:36.196884,GFZ,4.97,2024-08-24T00:09:14.868890,,R50D6,7938.558341793679,2024-08-23T23:57:51.560000,,,2024-08-23_175
smi:org.gfz-potsdam.de/geofon/gfz2024qpaa,160.942,,mb,2024-08-23,,,True,52.828,10.0,,False,AM,2024-08-23T21:58:28.700344,GFZ,5.05,2024-08-23T21:49:07.146329,,R50D6,7943.129842194111,2024-08-23T21:37:43.590000,,,2024-08-23_176
smi:org.gfz-potsdam.de/geofon/gfz2024qoxv,71.209,,mb,2024-08-23,,,True,39.849,18.2,,False,AM,2024-08-23T20:49:01.046908,GFZ,4.75,2024-08-23T20:41:53.240757,,R50D6,5461.106003045571,2024-08-23T20:33:03.150000,,,2024-08-23_177
smi:org.gfz-potsdam.de/geofon/gfz2024qovl,160.621,,mb,2024-08-23,,,True,53.003,10.0,,False,AM,2024-08-23T19:39:47.749649,GFZ,5.17,2024-08-23T19:30:27.341091,,R50D6,7920.030103429638,2024-08-23T19:19:05.040000,,,2024-08-23_178
smi:org.gfz-potsdam.de/geofon/gfz2024qorj,16.27,,mb,2024-08-23,,,True,51.498,0.8,,False,AM,2024-08-23T17:19:15.076658,GFZ,3.4,2024-08-23T17:17:08.016681,,R50D6,1239.9548271053554,2024-08-23T17:14:26.890000,,,2024-08-23_179
smi:org.gfz-potsdam.de/geofon/gfz2024qnxk,160.908,,mb,2024-08-23,,,True,52.771,29.0,,False,AM,2024-08-23T07:30:24.687955,GFZ,5.18,2024-08-23T07:21:02.848393,,R50D6,7948.942227380042,2024-08-23T07:09:38.980000,,,2024-08-23_180
smi:org.gfz-potsdam.de/geofon/gfz2024qnti,160.99,,m,2024-08-23,,,True,52.735,10.0,,False,AM,2024-08-23T05:27:34.706184,GFZ,5.4,2024-08-23T05:18:12.619613,,R50D6,7953.886707137593,2024-08-23T05:06:48.480000,,,2024-08-23_181
,,,,2024-08-23,2024-08-22T23:56:35.900000,0.8153244853019714,False,,,,True,AM,,Detection,,,,R50D6,,2024-08-22T23:56:35.900000,,,2024-08-23_08
,,,,2024-08-23,2024-08-23T00:05:05,0.3499375879764557,False,,,,True,AM,,Detection,,,,R50D6,,2024-08-23T00:05:05,,,2024-08-23_09
,,,,2024-08-23,2024-08-23T00:16:52.060000,0.319323867559433,False,,,,True,AM,,Detection,,,,R50D6,,2024-08-23T00:16:52.060000,,,2024-08-23_10
