long,detected,unique_id,epi_distance,event_id,s_detected,provider,network,s_confidence,s_predicted,p_detected,p_confidence,lat,date,plot_path,p_error,depth,time,p_predicted,mag,s_error,catalogued,code,mag_type
160.846,False,2024-08-23_175,7938.558341793679,smi:org.gfz-potsdam.de/geofon/gfz2024qpeq,,GFZ,AM,,2024-08-24T00:18:36.196884,,,52.859,2024-08-23,,,5.3,2024-08-23T23:57:51.560000,2024-08-24T00:09:14.868890,4.97,,True,R50D6,mb
160.942,False,2024-08-23_176,7943.129842194111,smi:org.gfz-potsdam.de/geofon/gfz2024qpaa,,GFZ,AM,,2024-08-23T21:58:28.700344,,,52.828,2024-08-23,,,10.0,2024-08-23T21:37:43.590000,2024-08-23T21:49:07.146329,5.05,,True,R50D6,mb
71.209,False,2024-08-23_177,5461.106003045571,smi:org.gfz-potsdam.de/geofon/gfz2024qoxv,,GFZ,AM,,2024-08-23T20:49:01.046908,,,39.849,2024-08-23,,,18.2,2024-08-23T20:33:03.150000,2024-08-23T20:41:53.240757,4.75,,True,R50D6,mb
160.621,False,2024-08-23_178,7920.030103429638,smi:org.gfz-potsdam.de/geofon/gfz2024qovl,,GFZ,AM,,2024-08-23T19:39:47.749649,,,53.003,2024-08-23,,,10.0,2024-08-23T19:19:05.040000,2024-08-23T19:30:27.341091,5.17,,True,R50D6,mb
16.27,False,2024-08-23_179,1239.9548271053554,smi:org.gfz-potsdam.de/geofon/gfz2024qorj,,GFZ,AM,,2024-08-23T17:19:15.076658,,,51.498,2024-08-23,,,0.8,2024-08-23T17:14:26.890000,2024-08-23T17:17:08.016681,3.4,,True,R50D6,mb
160.908,True,2024-08-23_180,7948.942227380042,smi:org.gfz-potsdam.de/geofon/gfz2024qnxk,,GFZ,AM,,2024-08-23T07:30:24.687955,2024-08-23T07:20:41.450000,0.14095625281333923,52.771,2024-08-23,https://raw.githubusercontent.com/QingyuanZhangTony/test/main/data\AM.R50D6/2024-08-23/report/2024-08-23_180_event_plot.png?raw=true,-21.398393,29.0,2024-08-23T07:09:38.980000,2024-08-23T07:21:02.848393,5.18,,True,R50D6,mb
160.99,False,2024-08-23_181,7953.886707137593,smi:org.gfz-potsdam.de/geofon/gfz2024qnti,,GFZ,AM,,2024-08-23T05:27:34.706184,,,52.735,2024-08-23,,,10.0,2024-08-23T05:06:48.480000,2024-08-23T05:18:12.619613,5.4,,True,R50D6,m
,True,2024-08-23_08,,,,Detection,AM,,,2024-08-22T23:56:35.900000,0.8153244853019714,,2024-08-23,,,,2024-08-22T23:56:35.900000,,,,False,R50D6,
,True,2024-08-23_09,,,,Detection,AM,,,2024-08-23T00:05:05,0.3499375879764557,,2024-08-23,,,,2024-08-23T00:05:05,,,,False,R50D6,
,True,2024-08-23_10,,,,Detection,AM,,,2024-08-23T00:05:05.970000,0.1350950300693512,,2024-08-23,,,,2024-08-23T00:05:05.970000,,,,False,R50D6,
,True,2024-08-23_11,,,,Detection,AM,,,2024-08-23T00:16:52.060000,0.319323867559433,,2024-08-23,,,,2024-08-23T00:16:52.060000,,,,False,R50D6,
,True,2024-08-23_12,,,,Detection,AM,,,2024-08-23T00:19:54.070000,0.42283371090888977,,2024-08-23,,,,2024-08-23T00:19:54.070000,,,,False,R50D6,
