depth,s_predicted,date,p_detected,s_error,network,detected,catalogued,epi_distance,provider,s_confidence,long,p_predicted,p_confidence,lat,time,code,p_error,mag,event_id,s_detected,plot_path,mag_type,unique_id
10.0,2024-08-24T00:18:36.751902,2024-08-23,,,AM,False,True,7931.592494334927,GFZ,,160.76,2024-08-24T00:09:15.769757,,52.913,2024-08-23T23:57:52.840000,R50D6,,4.88,smi:org.gfz-potsdam.de/geofon/gfz2024qpeq,,,mb,2024-08-23_175
10.0,2024-08-23T21:58:27.230078,2024-08-23,,,AM,False,True,7923.202548334168,GFZ,,160.815,2024-08-23T21:49:06.663885,,52.996,2024-08-23T21:37:44.190000,R50D6,,5.15,smi:org.gfz-potsdam.de/geofon/gfz2024qpaa,,,mb,2024-08-23_176
10.0,2024-08-23T20:48:59.805142,2024-08-23,,,AM,False,True,5461.313892546101,GFZ,,71.205,2024-08-23T20:41:51.986244,,39.843,2024-08-23T20:33:01.880000,R50D6,,4.75,smi:org.gfz-potsdam.de/geofon/gfz2024qoxv,,,mb,2024-08-23_177
10.0,2024-08-23T19:39:47.749649,2024-08-23,,,AM,False,True,7920.030103429638,GFZ,,160.621,2024-08-23T19:30:27.341091,,53.003,2024-08-23T19:19:05.040000,R50D6,,5.17,smi:org.gfz-potsdam.de/geofon/gfz2024qovl,,,mb,2024-08-23_178
0.8,2024-08-23T17:19:15.076658,2024-08-23,,,AM,False,True,1239.9548271053554,GFZ,,16.27,2024-08-23T17:17:08.016681,,51.498,2024-08-23T17:14:26.890000,R50D6,,3.4,smi:org.gfz-potsdam.de/geofon/gfz2024qorj,,,mb,2024-08-23_179
29.0,2024-08-23T07:30:24.687955,2024-08-23,,,AM,False,True,7948.942227380042,GFZ,,160.908,2024-08-23T07:21:02.848393,,52.771,2024-08-23T07:09:38.980000,R50D6,,5.18,smi:org.gfz-potsdam.de/geofon/gfz2024qnxk,,,mb,2024-08-23_180
10.0,2024-08-23T05:27:34.706184,2024-08-23,,,AM,False,True,7953.886707137593,GFZ,,160.99,2024-08-23T05:18:12.619613,,52.735,2024-08-23T05:06:48.480000,R50D6,,5.4,smi:org.gfz-potsdam.de/geofon/gfz2024qnti,,,m,2024-08-23_181
,,2024-08-23,2024-08-22T23:56:35.900000,,AM,True,False,,Detection,,,,0.8153244853019714,,2024-08-22T23:56:35.900000,R50D6,,,,,,,2024-08-23_08
,,2024-08-23,,,AM,True,False,,Detection,,,,,,2024-08-23T00:26:53.970000,R50D6,,,,,,,2024-08-23_09
,,2024-08-23,2024-08-23T00:37:06,,AM,True,False,,Detection,,,,0.5757492780685425,,2024-08-23T00:37:06,R50D6,,,,,,,2024-08-23_10
,,2024-08-23,2024-08-23T00:57:06.650000,,AM,True,False,,Detection,,,,0.7644798159599304,,2024-08-23T00:57:06.650000,R50D6,,,,,,,2024-08-23_11
,,2024-08-23,2024-08-23T00:58:23.080000,,AM,True,False,,Detection,,,,0.5192162394523621,,2024-08-23T00:58:23.080000,R50D6,,,,,,,2024-08-23_12
,,2024-08-23,2024-08-23T01:08:08,,AM,True,False,,Detection,,,,0.5881459712982178,,2024-08-23T01:08:08,R50D6,,,,,,,2024-08-23_13
,,2024-08-23,2024-08-23T01:11:38,,AM,True,False,,Detection,,,,0.839888334274292,,2024-08-23T01:11:38,R50D6,,,,,,,2024-08-23_14
,,2024-08-23,,,AM,True,False,,Detection,,,,,,2024-08-23T01:17:36.980000,R50D6,,,,,,,2024-08-23_15
,,2024-08-23,2024-08-23T01:27:19.040000,,AM,True,False,,Detection,,,,0.5081694722175598,,2024-08-23T01:27:19.040000,R50D6,,,,,,,2024-08-23_16
,,2024-08-23,2024-08-23T01:57:30.400000,,AM,True,False,,Detection,,,,0.7367016077041626,,2024-08-23T01:57:30.400000,R50D6,,,,,,,2024-08-23_17
,,2024-08-23,,,AM,True,False,,Detection,,,,,,2024-08-23T01:57:34.270000,R50D6,,,,,,,2024-08-23_18
,,2024-08-23,2024-08-23T02:16:35.020000,,AM,True,False,,Detection,,,,0.7881516814231873,,2024-08-23T02:16:35.020000,R50D6,,,,,,,2024-08-23_19
,,2024-08-23,2024-08-23T02:24:06,,AM,True,False,,Detection,,,,0.5255337357521057,,2024-08-23T02:24:06,R50D6,,,,,,,2024-08-23_20
,,2024-08-23,,,AM,True,False,,Detection,,,,,,2024-08-23T02:27:46.680000,R50D6,,,,,,,2024-08-23_21
,,2024-08-23,2024-08-23T02:42:44.970000,,AM,True,False,,Detection,,,,0.6905864477157593,,2024-08-23T02:42:44.970000,R50D6,,,,,,,2024-08-23_22
,,2024-08-23,2024-08-23T02:43:10.140000,,AM,True,False,,Detection,,,,0.6037183403968811,,2024-08-23T02:43:10.140000,R50D6,,,,,,,2024-08-23_23
,,2024-08-23,2024-08-23T02:46:19.510000,,AM,True,False,,Detection,,,,0.6843689680099487,,2024-08-23T02:46:19.510000,R50D6,,,,,,,2024-08-23_24
,,2024-08-23,2024-08-23T03:47:08.010000,,AM,True,False,,Detection,,,,0.5964372158050537,,2024-08-23T03:47:08.010000,R50D6,,,,,,,2024-08-23_25
,,2024-08-23,2024-08-23T03:58:10.030000,,AM,True,False,,Detection,,,,0.5290547609329224,,2024-08-23T03:58:10.030000,R50D6,,,,,,,2024-08-23_26
,,2024-08-23,,,AM,True,False,,Detection,,,,,,2024-08-23T03:58:10.800000,R50D6,,,,,,,2024-08-23_27
,,2024-08-23,2024-08-23T04:25:21.080000,,AM,True,False,,Detection,,,,0.7087300419807434,,2024-08-23T04:25:21.080000,R50D6,,,,,,,2024-08-23_28
,,2024-08-23,2024-08-23T04:35:39.020000,,AM,True,False,,Detection,,,,0.732419490814209,,2024-08-23T04:35:39.020000,R50D6,,,,,,,2024-08-23_29
,,2024-08-23,2024-08-23T04:37:53.040000,,AM,True,False,,Detection,,,,0.5152786374092102,,2024-08-23T04:37:53.040000,R50D6,,,,,,,2024-08-23_30
,,2024-08-23,2024-08-23T04:40:08.120000,,AM,True,False,,Detection,,,,0.7547982931137085,,2024-08-23T04:40:08.120000,R50D6,,,,,,,2024-08-23_31
